DayOrder,DayOfWeekStr,starttime,endtime,permit,PermitLocation,locationdesc,optionaltext,locationid,scheduleid,start24,end24,CNN,Addr_Date_Create,Addr_Date_Modified,block,lot,ColdTruck,Applicant,X,Y,Latitude,Longitude,Location
0,Sunday,6AM,12AM,14MFF-0081,100 GEARY ST,"Northwest Corner of Grant & Geary St, on Geary","Hot dogs, condiments, soft pretzels, soft drinks, coffee, cold beverages, pastries, bakery goods, cookies, ice cream, candy, soups, churros, chestnuts, nuts, fresh fruit, fruit juices, desserts, potato chips and popcorn.",530349,72098,06:00,24:00,6108000,09/06/2011 10:27:06 AM,09/06/2011 10:27:21 AM,0309,003,N,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",6011185.29921,2114925.94965,37.7878137881663,-122.405098834861,
0,Sunday,6AM,12AM,14MFF-0083,100 POST ST,"Corner of Post and Kearny, on Post","Hot dogs, condiments, soft pretzels, soft drinks, coffee, cold beverages, pastries, bakery goods, cookies, ice cream, candy, soups, churros, chestnuts, nuts, fresh fruit, fruit juices, desserts, potato chips and popcorn.",530355,72112,06:00,24:00,10625000,09/06/2011 12:42:53 PM,09/06/2011 12:50:21 PM,0294,004,N,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",6011600.06831,2115329.85806,37.7889460031071,-122.403692234115,
0,Sunday,6AM,12AM,14MFF-0082,2 MONTGOMERY ST,"Northeast Corner of Market & Montgomery St, on Market","Hot dogs, condiments, soft pretzels, soft drinks, coffee, cold beverages, pastries, bakery goods, cookies, ice cream, candy, soups, churros, chestnuts, nuts, fresh fruit, fruit juices, desserts, potato chips and popcorn.",530353,72105,06:00,24:00,30735000,09/06/2011 11:07:31 AM,09/06/2011 11:07:46 AM,0291,007,N,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",6012109.20022,2115389.99682,37.7891395577013,-122.401934924896,
0,Sunday,6PM,12AM,14MFF-0008,2301 MISSION ST,Set-up at 2305 Mission St,"Hot dogs and related toppings, non alcoholic beverages",519831,58706,18:00,24:00,9121000,11/04/2011 11:53:51 AM,11/04/2011 11:56:39 AM,3595,031,N,Leo's Hot Dogs,6006924.58765,2104953.02765,37.7601914209313,-122.41913245488,
0,Sunday,6AM,12AM,14MFF-0078,233 GEARY ST,Fronting 229 Geary St at Stockton St,"Hot dogs, condiments, soft pretzels, soft drinks, coffee, cold beverages, pastries, bakery goods, cookies, ice cream, candy, soups, churros, chestnuts, nuts, fresh fruit, fruit juices, desserts, potato chips and popcorn.",530346,72077,06:00,24:00,6109000,09/02/2011 10:05:36 AM,09/02/2011 10:05:51 AM,0314,001,N,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",6010595.60275,2114803.08271,37.787443441473,-122.407130420012,
0,Sunday,6AM,12AM,14MFF-0077,251 GEARY ST,"Geary St, in front of Macy's","Hot dogs, condiments, soft pretzels, soft drinks, coffee, cold beverages, pastries, bakery goods, cookies, ice cream, candy, soups, churros, chestnuts, nuts, fresh fruit, fruit juices, desserts, potato chips and popcorn.",530344,72070,06:00,24:00,6109000,08/30/2011 12:39:27 PM,08/30/2011 12:39:42 PM,0314,014,N,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",6010513.68683,2114791.62563,37.7874073985061,-122.407413025679,
0,Sunday,6AM,12AM,14MFF-0076,345 STOCKTON ST,"Northwest Corner of Post & Stockton Streets, on Post","Hot dogs, condiments, soft pretzels, soft drinks, coffee, cold beverages, pastries, bakery goods, cookies, ice cream, candy, soups, churros, chestnuts, nuts, fresh fruit, fruit juices, desserts, potato chips and popcorn.",530342,72063,06:00,24:00,10628000,07/15/2011 12:14:55 PM,07/15/2011 12:15:12 PM,0295,016,N,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",6010666.44243,2115341.30313,37.7889252304878,-122.406923276928,
0,Sunday,6AM,12AM,14MFF-0079,5 THE EMBARCADERO,"Northeast Corner of California, Market, and Drumm St","Hot dogs, condiments, soft pretzels, soft drinks, coffee, cold beverages, pastries, bakery goods, cookies, ice cream, candy, soups, churros, chestnuts, nuts, fresh fruit, fruit juices, desserts, potato chips and popcorn.",530347,72084,06:00,24:00,30049000,09/02/2011 02:50:09 PM,09/02/2011 02:50:29 PM,0234,017,N,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",6015955.31962,2112814.37008,37.7822813709122,-122.388447868215,
0,Sunday,6AM,12AM,14MFF-0085,567 BAY ST,Bay & Taylor intersection. Located against the planter box wall in front of the cable car turn-around.,"Hot dogs, condiments, soft pretzels, soft drinks, coffee, cold beverages, pastries, bakery goods, cookies, ice cream, candy, soups, churros, chestnuts, nuts, fresh fruit, fruit juices, desserts, potato chips and popcorn.",530359,72126,06:00,24:00,25524000,09/06/2011 03:18:29 PM,09/06/2011 03:19:02 PM,0043,001,N,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",6008072.54766,2121331.29447,37.8052267720474,-122.416322260146,
0,Sunday,6AM,12AM,14MFF-0080,701 HOWARD ST,"Southeast Corner of 4th & Howard St, on Howard","Hot dogs, condiments, soft pretzels, soft drinks, coffee, cold beverages, pastries, bakery goods, cookies, ice cream, candy, soups, churros, chestnuts, nuts, fresh fruit, fruit juices, desserts, potato chips and popcorn.",530348,72091,06:00,24:00,7038000,09/06/2011 10:07:44 AM,09/06/2011 10:10:06 AM,3734,091,N,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",6012496.50073,2113852.01595,37.7849382299627,-122.400486828595,
0,Sunday,6AM,12AM,14MFF-0075,900 BEACH ST,"Northwest Corner of Hyde & Beach Streets, on Beach.  Approximately 12' West of the Hyde St & Beach St crosswalk. Located against the wall with plant/ bushes.","Hot dogs, condiments, soft pretzels, soft drinks, coffee,cold beverages, pastries, bakery goods, cookies, icecream, candy, soups, churros, chestnuts, nuts, fresh fruit, fruit juices, desserts, potato chips and popcorn.",530339,72056,06:00,24:00,2846000,08/31/2011 04:05:09 PM,08/31/2011 04:05:30 PM,0405,007,N,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",6005895.59457,2121756.69017,37.8062721441523,-122.42388615342,
0,Sunday,6AM,2PM,14MFF-0065,124 FOLSOM ST,Cart set-up at 298 Spear St in the first parking space North of Folsom Street,"Coffee, Espresso Drinks, Pastries, Water, Soda, Tea, Pre-Packaged Foods",526862,70922,06:00,14:00,12046000,04/14/2011 11:02:49 AM,11/02/2011 04:49:56 PM,3740,031,N,Curbside Coffee,6015201.73626,2115613.89646,37.7899264436726,-122.391250706732,
0,Sunday,6AM,8PM,14MFF-0035,,"Located on the West side of the Davis St frontage, South of Broadway St",Grilled Cheese Sandwiches,526150,68254,06:00,20:00,4609000,03/16/2011 05:27:25 PM,03/16/2011 05:28:09 PM,0167,010,N,Cheese Gone Wild,6012974.89,2118691.505,37.7982529941715,-122.399171569524,
0,Sunday,6AM,8PM,14MFF-0123,15 MARINA BLVD,On South Side of Marina Blvd. approximately 205' from Laguna St. Intersection,"Hot coffee, iced coffee, hot chocolate, tea, pastries",607408,737171,06:00,20:00,8701000,12/23/2014 08:24:05 AM,12/23/2014 08:24:35 AM,0446,002,N,Philz Coffee Truck,6003439.01123,2121390.69531,37.8051282283843,-122.432361422539,
0,Sunday,6AM,8PM,11MFF-0184,2465 MISSION ST,Pushcart located in the center of the property along curbside approximately 215 linear feet North of the 21st St and Mission St intersection.,"Churros, pre-packaged snacks, tamales, beverages",339198,6790,06:00,20:00,9122002,11/04/2011 10:53:18 AM,11/22/2011 12:46:18 PM,3610,024,N,Leticia Montes,6006976.25959,2104016.08686,37.7576217081709,-122.418887293706,
